Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Release Date,Running Time,License
Ready Player One,2018,Warner Bros.,175000000,41764050,137715350,469558784,607274134,28-Mar-18,2 hr 20 min,PG-13
Mamma Mia!,2008,Universal Pictures,52000000,27751240,144169664,550308728,694478392,27-Jun-08,1 hr 48 min,PG-13
Unbreakable,2000,Walt Disney Studios Motion Pictures,75000000,30330771,95011339,153106782,248118121,22-Nov-00,1 hr 46 min,PG-13
The Little Mermaid,1989,Walt Disney Studios Motion Pictures,November 17 1989 (Domestic),6031914,111543479,99800000,211343479,16-Dec-04,1 hr 48 min,PG
Catch Me If You Can,2002,DreamWorks Distribution,52000000,30053627,164615351,187498961,352114312,25-Dec-02,2 hr 21 min,PG-13
Philadelphia,1993,TriStar Pictures,26000000,143433,77446440,129232000,206678440,24-Dec-93,2 hr 5 min,PG-13
The Pacifier,2005,Walt Disney Studios Motion Pictures,56000000,30552694,113086868,85550000,198636868,4-Mar-05,1 hr 35 min,PG
John Carter,2012,Walt Disney Studios Motion Pictures,250000000,30180188,73078100,211061000,284139100,7-Mar-12,2 hr 12 min,PG-13
Bridget Jones: The Edge of Reason,2004,Universal Pictures,40000000,8684055,40226215,224900703,265126918,11-Nov-04,1 hr 48 min,R
The Lego Movie 2: The Second Part,2019,Warner Bros.,99000000,34115335,105956290,93646912,199603202,6-Feb-19,1 hr 47 min,PG
Operation Red Sea,2018,Well Go USA Entertainment,February 16 2018 (China),436059,1543547,577786879,579330426,2-Nov-01,1 hr 32 min,G
Twins,1988,Universal Pictures,15000000,11174980,111938388,104676000,216614388,9-Dec-88,1 hr 47 min,NA
Charlie and the Chocolate Factory,2005,Warner Bros.,150000000,56178450,206459076,268509687,474968763,14-Jul-05,1 hr 55 min,PG
The Legend of Tarzan,2016,Warner Bros.,180000000,38527856,126643061,230057296,356700357,29-Jun-16,1 hr 50 min,PG-13
Spider-Man: No Way Home,2021,Sony Pictures Entertainment (SPE),December 15 2021 (14 markets),260138569,814115070,1107732041,1921847111,16-Dec-15,2 hr 18 min,PG-13
Lethal Weapon 3,1992,Warner Bros.,35000000,33243086,144731527,177000000,321731527,15-May-92,1 hr 58 min,R
The Proposal,2009,Walt Disney Studios Motion Pictures,40000000,33627598,163958031,153417000,317375031,17-Jun-09,1 hr 48 min,PG-13
Monster Hunt 2,2018,Lionsgate,February 15 2018 (APAC),341834,706153,360976465,361682618,19-Nov-99,2 hr 8 min,PG-13
Paddington,2014,Dimension Films,55000000,18966676,76271832,206167002,282438834,27-Nov-14,1 hr 35 min,PG
The Fast and the Furious,2001,Universal Pictures,38000000,40089015,144745925,62771584,207517509,22-Jun-01,1 hr 46 min,PG-13
Minority Report,2002,Twentieth Century Fox,102000000,35677125,132072926,226300000,358372926,20-Jun-02,2 hr 25 min,PG-13
The King's Speech,2010,The Weinstein Company,15000000,355450,138797449,345271412,484068861,26-Nov-10,1 hr 58 min,R
American Hustle,2013,Sony Pictures Entertainment (SPE),40000000,740455,150117807,101054000,251171807,12-Dec-13,2 hr 18 min,R
Wayne's World,1992,Paramount Pictures,20000000,18122710,121697323,61400000,183097323,14-Feb-92,1 hr 34 min,PG-13
White House Down,2013,Sony Pictures Entertainment (SPE),150000000,24852258,73103784,132262953,205366737,27-Jun-13,2 hr 11 min,PG-13
Fast & Furious,2009,Universal Pictures,85000000,70950500,155064265,205302605,360366870,2-Apr-09,1 hr 47 min,PG-13
Dolittle,2020,Universal Pictures,175000000,21844045,77047065,174363566,251410631,8-Jan-20,1 hr 41 min,PG
Ant-Man and the Wasp: Quantumania,2023,Walt Disney Studios Motion Pictures,February 15 2023 (EMEA APAC),106109650,214504909,261566271,476071180,20-Jun-75,2 hr 4 min,NA
Jack the Giant Slayer,2013,Warner Bros.,195000000,27202226,65187603,132500000,197687603,28-Feb-13,1 hr 54 min,PG-13
Van Helsing,2004,Universal Pictures,160000000,51748040,120177084,179980554,300157638,5-May-04,2 hr 11 min,PG-13
Red Dragon,2002,Universal Pictures,78000000,36540945,93149898,116046400,209196298,4-Oct-02,2 hr 4 min,R
Love Actually,2003,Universal Pictures,40000000,6886080,59696144,188237104,247933248,7-Nov-03,2 hr 15 min,R
The Tourist,2010,Sony Pictures Entertainment (SPE),100000000,16472458,67631157,211149284,278780441,9-Dec-10,1 hr 43 min,PG-13
The Prince of Egypt,1998,DreamWorks Distribution,70000000,14524321,101413188,117200000,218613188,18-Dec-98,1 hr 39 min,PG
The Bodyguard,1992,Warner Bros.,November 25 1992 (Domestic),16611793,122046449,289000000,411046449,23-Jun-89,2 hr 6 min,NA
Quantum of Solace,2008,Sony Pictures Entertainment (SPE),200000000,67528882,168368427,421212055,589580482,31-Oct-08,1 hr 46 min,PG-13
Hancock,2008,Sony Pictures Entertainment (SPE),150000000,62603879,227946274,401497154,629443428,2-Jul-08,1 hr 32 min,PG-13
The Secret Life of Walter Mitty,2013,Twentieth Century Fox,90000000,12765508,58236838,129896484,188133322,19-Dec-13,1 hr 54 min,PG
Cars 2,2011,Walt Disney Studios Motion Pictures,200000000,66135507,191452396,368400000,559852396,22-Jun-11,1 hr 46 min,G
Downton Abbey,2019,Focus Features,13000000,31033665,96853865,97840860,194694725,12-Sep-19,2 hr 2 min,PG
Black Widow,2021,Walt Disney Studios Motion Pictures,July 7 2021 (EMEA),80366312,183651655,196100000,379751655,7-May-15,2 hr,R
The Adventures of Tintin,2011,Paramount Pictures,October 26 2011 (EMEA),9720993,77591831,296402120,373993951,15-Dec-00,2 hr 7 min,PG-13
Cast Away,2000,Twentieth Century Fox,90000000,28883406,233632142,196000000,429632142,22-Dec-00,2 hr 23 min,PG-13
The Martian,2015,Twentieth Century Fox,108000000,54308575,228433663,402187155,630620818,30-Sep-15,2 hr 24 min,PG-13
Deep Impact,1998,Paramount Pictures,May 8 1998 (Domestic),41152375,140464664,209000000,349464664,19-Dec-18,2 hr 10 min,PG
Murder on the Orient Express,2017,Twentieth Century Fox,55000000,28681472,102826543,249967538,352794081,3-Nov-17,1 hr 54 min,PG-13
The Rock,1996,Walt Disney Studios Motion Pictures,75000000,25069525,134069511,200993110,335062621,7-Jun-96,2 hr 16 min,R
Star Wars: Episode IV - A New Hope,1977,Twentieth Century Fox,11000000,1554475,460998507,195751992,775398007,25-May-77,2 hr 1 min,PG
Fifty Shades Freed,2018,Universal Pictures,55000000,38560195,100407760,271577258,371985018,7-Feb-18,1 hr 45 min,R
Close Encounters of the Third Kind,1977,Columbia Pictures,November 16 1977 (Domestic),20000000,135189114,171700000,306889114,21-Nov-12,1 hr 37 min,PG
Bad Boys for Life,2020,Sony Pictures Entertainment (SPE),90000000,62504105,206305244,220200000,426505244,15-Jan-20,2 hr 4 min,R
Spider-Man: Homecoming,2017,Sony Pictures Entertainment (SPE),175000000,117027503,334201140,545965784,880166924,5-Jul-17,2 hr 13 min,PG-13
Guardians of the Galaxy Vol. 2,2017,Walt Disney Studios Motion Pictures,200000000,146510104,389813101,473942950,863756051,25-Apr-17,2 hr 16 min,PG-13
Super 8,2011,Paramount Pictures,50000000,35451168,127004179,133091807,260095986,9-Jun-11,1 hr 52 min,PG-13
Pacific Rim: Uprising,2018,Universal Pictures,150000000,28116535,59874525,231055623,290930148,21-Mar-18,1 hr 51 min,PG-13
The Hangover Part III,2013,Warner Bros.,103000000,41671198,112200072,249800000,362000072,23-May-13,1 hr 40 min,R
2012,2009,Sony Pictures Entertainment (SPE),200000000,65237614,166112167,625105659,791217826,11-Nov-09,2 hr 38 min,PG-13
Watchmen,2009,Warner Bros.,130000000,55214334,107509799,77873014,185382813,4-Mar-09,2 hr 42 min,R
Bean,1997,Gramercy Pictures (I),18000000,2255233,45319423,205893247,251212670,17-Oct-97,1 hr 29 min,PG-13
Transformers: Revenge of the Fallen,2009,DreamWorks,200000000,108966307,402111870,434191823,836303693,19-Jun-09,2 hr 29 min,PG-13
Batman,1989,Warner Bros.,35000000,40489746,251409241,160160000,411569241,23-Jun-89,2 hr 6 min,NA
Shark Tale,2004,DreamWorks Distribution,75000000,47604606,160861908,213721971,374583879,23-Sep-04,1 hr 30 min,PG
American Beauty,1999,DreamWorks Distribution,15000000,861531,130096601,226200000,356296601,15-Sep-99,2 hr 2 min,R
Spirited Away,2001,Walt Disney Studios Motion Pictures,July 27 2001 (Japan),449839,15205725,342071675,357277400,20-Jun-02,2 hr 25 min,PG-13
The Conjuring 2,2016,Warner Bros.,40000000,40406314,102516140,219318211,321834351,8-Jun-16,2 hr 14 min,R
Monsters vs. Aliens,2009,DreamWorks,175000000,59321095,198351526,183158344,381509870,19-Mar-09,1 hr 34 min,PG
Now You See Me 2,2016,Lionsgate,June 2 2016 (Australia),22383146,65075540,269822066,334897606,16-Dec-16,1 hr 43 min,PG-13
Divergent,2014,Lionsgate,85000000,54607747,150947895,137937923,288885818,20-Mar-14,2 hr 19 min,PG-13
The Addams Family,2019,United Artists Releasing,24000000,30300007,100723831,103670352,204394183,11-Oct-19,1 hr 26 min,PG
The Peanuts Movie,2015,Twentieth Century Fox,99000000,44213073,130178411,116054702,246233113,29-Oct-15,1 hr 28 min,G
Paranormal Activity,2007,Paramount Pictures,15000,77873,107918810,85436990,193355800,25-Sep-09,1 hr 26 min,R
Lost in Hong Kong,2015,Well Go USA Entertainment,September 24 2015 (APAC),537736,1302281,254981631,256283912,13-Aug-03,1 hr 48 min,PG-13
There's Something About Mary,1998,Twentieth Century Fox,23000000,13740644,176484651,193400000,369884651,15-Jul-98,1 hr 59 min,R
Wild Hogs,2007,Walt Disney Studios Motion Pictures,March 2 2007 (Domestic),39699023,168273550,85351877,253625427,12-Jun-19,1 hr 54 min,PG-13
Signs,2002,Walt Disney Studios Motion Pictures,72000000,60117080,227966634,180281283,408247917,2-Aug-02,1 hr 46 min,PG-13
Star Wars: Episode VII - The Force Awakens,2015,Walt Disney Studios Motion Pictures,245000000,247966675,936662225,1134647993,2071310218,16-Dec-15,2 hr 18 min,PG-13
Me Before You,2016,Warner Bros.,20000000,18723269,56245075,152069111,208314186,1-Jun-16,1 hr 50 min,PG-13
Night at the Museum: Battle of the Smithsonian,2009,Twentieth Century Fox,150000000,54173286,177243721,235862449,413106170,20-May-09,1 hr 45 min,PG
The Hunchback of Notre Dame,1996,Walt Disney Studios Motion Pictures,100000000,21037414,100138851,225200000,325338851,21-Jun-96,1 hr 31 min,NA
The Firm,1993,Paramount Pictures,July 2 1993 (Domestic),25400000,158348367,111900000,270248367,8-May-14,1 hr 37 min,R
X-Men Origins: Wolverine,2009,Twentieth Century Fox,150000000,85058003,179883157,193179707,373062864,29-Apr-09,1 hr 47 min,PG-13
The Sixth Sense,1999,Walt Disney Studios Motion Pictures,40000000,26681262,293506292,379300140,672806432,6-Aug-99,1 hr 47 min,PG-13
Sex and the City 2,2010,Warner Bros.,100000000,31001870,95347692,195397363,290745055,27-May-10,2 hr 26 min,R
The Exorcist,1973,Warner Bros.,December 26 1973 (Domestic),11000000,233005644,136017945,441306145,19-Dec-12,2 hr 38 min,PG-13
Ted,2012,Universal Pictures,50000000,54415205,218815487,330552828,549368315,29-Jun-12,1 hr 46 min,R
G.I. Joe: The Rise of Cobra,2009,Paramount Pictures,175000000,54713046,150201498,152267519,302469017,5-Aug-09,1 hr 58 min,PG-13
Bedtime Stories,2008,Walt Disney Studios Motion Pictures,80000000,27450296,110101975,102772889,212874864,24-Dec-08,1 hr 39 min,PG
Mulan,1998,Walt Disney Studios Motion Pictures,June 19 1998 (Domestic),22745143,120620254,183700000,304320254,6-Feb-13,1 hr 38 min,R
Avengers: Endgame,2019,Walt Disney Studios Motion Pictures,356000000,357115007,858373000,1941066100,2799439100,24-Apr-19,3 hr 1 min,PG-13
Fast & Furious Presents: Hobbs & Shaw,2019,Universal Pictures,200000000,60038950,173956935,586775991,760732926,1-Jul-19,2 hr 17 min,PG-13
Wonder Woman,2017,Warner Bros.,149000000,103251471,412845172,410009114,822854286,30-May-17,2 hr 21 min,PG-13
The Grudge,2004,Sony Pictures Entertainment (SPE),10000000,39128715,110359362,76921753,187281115,22-Oct-04,1 hr 31 min,PG-13
Harry Potter and the Goblet of Fire,2005,Warner Bros.,150000000,102685961,290469928,606345381,896815310,16-Nov-05,2 hr 37 min,PG-13
The Secret Life of Pets,2016,Universal Pictures,75000000,104352905,368384330,525944139,894328469,24-Jun-16,1 hr 27 min,PG
Ice Age: The Meltdown,2006,Twentieth Century Fox,80000000,68033544,195330621,471763885,667094506,29-Mar-06,1 hr 31 min,PG
Due Date,2010,Warner Bros.,65000000,32689406,100539043,111241781,211780824,3-Nov-10,1 hr 35 min,R
Kung Fu Panda,2008,DreamWorks,130000000,60239130,215771591,416311606,632083197,5-Jun-08,1 hr 32 min,PG
The Incredible Hulk,2008,Universal Pictures,150000000,55414050,134806913,129964083,264770996,11-Jun-08,1 hr 52 min,PG-13
Thor: The Dark World,2013,Walt Disney Studios Motion Pictures,170000000,85737841,206362140,438421000,644783140,30-Oct-13,1 hr 52 min,PG-13
Poseidon,2006,Warner Bros.,160000000,22155410,60674817,121000000,181674817,10-May-06,1 hr 38 min,PG-13
Detective Chinatown 3,2021,Warner Bros.,November 23 2016 (Domestic),February 12 2021 (China),686257563,686257563,687228908,8-Mar-12,2 hr 22 min,PG-13
Rio 2,2014,Twentieth Century Fox,103000000,39327869,131538435,367242682,498781117,20-Mar-14,1 hr 41 min,G
Silver Linings Playbook,2012,The Weinstein Company,21000000,443003,132092958,104319495,236412453,16-Nov-12,2 hr 2 min,R
Night at the Museum,2006,Twentieth Century Fox,December 21 2006 (APAC),30433781,250863268,323617961,574481229,2-Nov-01,1 hr 32 min,G
Hercules,1997,Walt Disney Studios Motion Pictures,85000000,249567,99112101,153600000,252712101,15-Jun-97,1 hr 33 min,NA
Blade Runner 2049,2017,Warner Bros.,150000000,32753122,92071675,175699033,267770708,4-Oct-17,2 hr 44 min,R
Terminator 2: Judgment Day,1991,TriStar Pictures,102000000,31765506,205881154,312106698,520881154,3-Jul-91,2 hr 17 min,R
Up,2009,Walt Disney Studios Motion Pictures,175000000,68108790,293004164,442094938,735099102,28-May-09,1 hr 36 min,PG
Mrs. Doubtfire,1993,Twentieth Century Fox,25000000,20468847,219195243,222090952,441286195,24-Nov-93,2 hr 5 min,PG-13
Journey to the Center of the Earth,2008,Warner Bros.,60000000,21018141,101704370,142528318,244232688,10-Jul-08,1 hr 33 min,PG
Bridesmaids,2011,Universal Pictures,32500000,26247410,169106725,137335360,306442085,12-May-11,2 hr 5 min,R
Moonraker,1979,Metro-Goldwyn-Mayer (MGM),June 29 1979 (Domestic),7108344,70308099,140000000,210308099,13-Aug-09,1 hr 52 min,R
Percy Jackson: Sea of Monsters,2013,Twentieth Century Fox,90000000,14401054,68559554,131290761,199850315,7-Aug-13,1 hr 46 min,PG
TRON: Legacy,2010,Walt Disney Studios Motion Pictures,170000000,44026211,172062763,228001089,400063852,16-Dec-10,2 hr 5 min,PG
The BFG,2016,Walt Disney Studios Motion Pictures,140000000,18775350,55483770,139759641,195243411,30-Jun-16,1 hr 57 min,PG
Wallace & Gromit: The Curse of the Were-Rabbit,2005,DreamWorks Distribution,30000000,16025987,56110897,138026506,194137403,15-Sep-05,1 hr 25 min,NA
Django Unchained,2012,The Weinstein Company,100000000,30122888,162805434,263268939,426074373,25-Dec-12,2 hr 45 min,R
Kill Bill: Vol. 1,2003,Miramax,30000000,22200000,70099045,110807031,180906076,9-Oct-03,1 hr 51 min,R
The Fault in Our Stars,2014,Twentieth Century Fox,12000000,48002523,124872350,182294484,307166834,4-Jun-14,2 hr 6 min,PG-13
300,2006,Warner Bros.,65000000,70885301,210629101,245453242,456082343,7-Mar-07,1 hr 57 min,R
True Grit,2010,Paramount Pictures,38000000,24830443,171243005,81033922,252276927,22-Dec-10,1 hr 50 min,PG-13
Robin Hood: Prince of Thieves,1991,Warner Bros.,48000000,25625602,165493908,225000000,390493908,14-Jun-91,2 hr 23 min,NA
Battleship,2012,Universal Pictures,209000000,25534825,65422625,237602860,303025485,11-Apr-12,2 hr 11 min,PG-13
Dances with Wolves,1990,Orion Pictures,22000000,598257,184208848,240000000,424208848,9-Nov-90,3 hr 1 min,NA
The SpongeBob Movie: Sponge Out of Water,2015,Paramount Pictures,74000000,55365012,162994032,162192000,325186032,28-Jan-15,1 hr 32 min,PG
Daddy's Home 2,2017,Paramount Pictures,69000000,29651193,104029443,76584381,180613824,9-Nov-17,1 hr 40 min,PG-13
Top Gun,1986,Paramount Pictures,May 16 1986 (Domestic),8193052,180258178,177030000,357288178,20-Jun-02,2 hr 25 min,PG-13
Jurassic World,2015,Universal Pictures,150000000,208806270,653406625,1018130819,1671537444,10-Jun-15,2 hr 4 min,PG-13
Inside Out,2015,Walt Disney Studios Motion Pictures,175000000,90440272,356921711,501926308,858848019,10-Jun-15,1 hr 35 min,PG
Ransom,1996,Walt Disney Studios Motion Pictures,November 8 1996 (Domestic),34216088,136492681,173000000,309492681,21-Nov-08,1 hr 36 min,PG
Venom: Let There Be Carnage,2021,Sony Pictures Entertainment (SPE),September 30 2021 (Russia/CIS),90033210,213550366,293313226,506863592,10-Jul-15,1 hr 57 min,PG-13
Tangled,2010,Walt Disney Studios Motion Pictures,260000000,48767052,200821936,391640880,592462816,24-Nov-10,1 hr 40 min,PG
Men in Black: International,2019,Sony Pictures Entertainment (SPE),110000000,30035838,80001807,173888894,253890701,12-Jun-19,1 hr 54 min,PG-13
Percy Jackson & the Olympians: The Lightning Thief,2010,Twentieth Century Fox,95000000,31236067,88768303,137728906,226497209,10-Feb-10,1 hr 58 min,PG
Tarzan,1999,Walt Disney Studios Motion Pictures,130000000,34221968,171091819,277100000,448191819,16-Jun-99,1 hr 28 min,G
Snow White and the Seven Dwarfs,1937,Walt Disney Studios Motion Pictures,December 21 1937 (Domestic),1499000,184925486,184925486,184928542,18-May-01,2 hr 7 min,PG-13
Gulliver's Travels,2010,Twentieth Century Fox,112000000,6307691,42779261,194603463,237382724,22-Dec-10,1 hr 25 min,PG
The Smurfs 2,2013,Sony Pictures Entertainment (SPE),105000000,17548389,71017784,276527576,347545360,31-Jul-13,1 hr 45 min,PG
Inside Man,2006,Universal Pictures,45000000,28954945,88513495,97490096,186003591,23-Mar-06,2 hr 9 min,R
High School Musical 3: Senior Year,2008,Walt Disney Studios Motion Pictures,11000000,42030184,90559416,162349761,252909177,22-Oct-08,1 hr 52 min,G
A Dog's Purpose,2017,Universal Pictures,22000000,18222810,64508620,140527199,205035819,19-Jan-17,1 hr 40 min,PG
Skyscraper,2018,Universal Pictures,125000000,24905015,68420120,236448841,304868961,11-Jul-18,1 hr 42 min,PG-13
Green Lantern,2011,Warner Bros.,200000000,53174303,116601172,103250000,219851172,15-Jun-11,1 hr 54 min,PG-13
Independence Day: Resurgence,2016,Twentieth Century Fox,165000000,41039944,103144286,286537649,389681935,22-Jun-16,2 hr,PG-13
Joker,2019,Warner Bros.,55000000,96202337,335477657,738980625,1074458282,2-Oct-19,2 hr 2 min,R
Crocodile Dundee II,1988,Paramount Pictures,May 25 1988 (Domestic),24462976,109306210,130300000,239606210,6-Jul-90,2 hr 4 min,NA
X-Men: First Class,2011,Twentieth Century Fox,160000000,55101604,146408305,206208385,352616690,1-Jun-11,2 hr 11 min,PG-13
Iron Man,2008,Paramount Pictures,140000000,98618668,319034126,266762121,585796247,30-Apr-08,2 hr 6 min,PG-13
Jerry Maguire,1996,Sony Pictures Entertainment (SPE),50000000,17084296,153952592,119600000,273552592,13-Dec-96,2 hr 19 min,R
300: Rise of an Empire,2014,Warner Bros.,110000000,45038460,106580051,231000000,337580051,5-Mar-14,1 hr 42 min,R
The Lord of the Rings: The Return of the King,2003,New Line Cinema,94000000,72629713,379427292,768206541,1147633833,17-Dec-03,3 hr 21 min,PG-13
Water Gate Bridge,2022,CMC Pictures,February 1 2022 (China),42707,117294,626454403,626571697,2-Jul-08,1 hr 32 min,PG-13
The Bad Guys,2022,Universal Pictures,March 16 2022 (Egypt),23950245,97233630,152928648,250162278,17-Jul-98,2 hr 16 min,PG-13
The Jungle Book 2,2003,Walt Disney Studios Motion Pictures,20000000,11441733,47901582,138402177,186303759,5-Feb-03,1 hr 12 min,NA
National Treasure,2004,Walt Disney Studios Motion Pictures,100000000,35142554,173008894,174503424,347512318,19-Nov-04,2 hr 11 min,PG
Sleepless in Seattle,1993,TriStar Pictures,21000000,17253733,126808165,101119000,227927165,25-Jun-93,1 hr 45 min,PG
Inferno,2016,Sony Pictures Entertainment (SPE),75000000,14860425,34343574,185677685,220021259,12-Oct-16,2 hr 1 min,PG-13
The Devil Wears Prada,2006,Twentieth Century Fox,35000000,27537244,124740460,201965655,326706115,30-Jun-06,1 hr 49 min,PG-13
Oblivion,2013,Universal Pictures,120000000,37054485,89107235,197061337,286168572,10-Apr-13,2 hr 4 min,PG-13
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,July 4 2018 (EMEA APAC),75812205,216648740,406025399,622674139,28-Jun-07,1 hr 51 min,G
Terminator: Dark Fate,2019,Paramount Pictures,185000000,29033832,62253077,198866215,261119292,23-Oct-19,2 hr 8 min,R
Fury,2014,Sony Pictures Entertainment (SPE),68000000,23702421,85817906,126004791,211822697,17-Oct-14,2 hr 14 min,R
The Hangover,2009,Warner Bros.,35000000,44979319,277339746,191988333,469328079,5-Jun-09,1 hr 40 min,R
Pulp Fiction,1994,Miramax,8000000,9311882,107928762,106000000,213928762,14-Oct-94,2 hr 34 min,R
Borat,2006,Twentieth Century Fox,18000000,26455463,128505958,134046935,262552893,23-Feb-06,1 hr 24 min,R
Godzilla vs. Kong,2021,Warner Bros.,March 24 2021 (APAC),31625971,100916094,369200000,470116094,1-Nov-12,1 hr 41 min,PG
Presumed Innocent,1990,Warner Bros.,July 27 1990 (Domestic),11718981,86303188,135000000,221303188,12-Oct-17,1 hr 49 min,PG-13
Ghostbusters,2016,Sony Pictures Entertainment (SPE),144000000,46018755,128350574,100796935,229147509,11-Jul-16,1 hr 57 min,PG-13
Taken 2,2012,Twentieth Century Fox,45000000,49514769,139854287,236298168,376152455,27-Sep-12,1 hr 32 min,PG-13
Assassin's Creed,2016,Twentieth Century Fox,125000000,10278225,54647948,186049908,240697856,21-Dec-16,1 hr 55 min,PG-13
Ratatouille,2007,Walt Disney Studios Motion Pictures,150000000,47027395,206445654,417280431,623726085,28-Jun-07,1 hr 51 min,G
Edge of Tomorrow,2014,Warner Bros.,178000000,28760246,100206256,270335000,370541256,28-May-14,1 hr 53 min,PG-13
Tomorrow Never Dies,1997,Metro-Goldwyn-Mayer (MGM),December 19 1997 (Domestic),25143007,125304276,207706792,333011068,23-May-84,1 hr 58 min,NA
Two Weeks Notice,2002,Warner Bros.,60000000,14328494,93354851,105688620,199043471,20-Dec-02,1 hr 41 min,PG-13
The Intouchables,2011,The Weinstein Company,November 2 2011 (EMEA),103507,10198820,416389690,426588510,5-Nov-03,2 hr 9 min,R
Forrest Gump,1994,Paramount Pictures,55000000,24450602,330455270,347771195,678226465,6-Jul-94,2 hr 22 min,PG-13
Die Hard with a Vengeance,1995,Twentieth Century Fox,90000000,22162245,100012499,266089167,366101666,19-May-95,2 hr 8 min,R
Lethal Weapon 4,1998,Warner Bros.,140000000,34048124,130444603,155000000,285444603,10-Jul-98,2 hr 7 min,R
Pirates of the Caribbean: At World's End,2007,Walt Disney Studios Motion Pictures,300000000,114732820,309420425,652270784,961691209,22-May-07,2 hr 49 min,PG-13
Despicable Me,2010,Universal Pictures,69000000,56397125,251557985,291600000,543157985,8-Jul-10,1 hr 35 min,PG
War of the Worlds,2005,Paramount Pictures,132000000,64878725,234280354,369592765,603873119,29-Jun-05,1 hr 56 min,PG-13
The Vow,2012,Screen Gems,30000000,41202458,125014030,71100540,196114570,9-Feb-12,1 hr 44 min,PG-13
Creed III,2023,United Artists Releasing,March 1 2023 (EMEA APAC),58370007,156248615,119000000,275248615,9-Nov-12,2 hr 30 min,PG-13
Ghost Rider,2007,Sony Pictures Entertainment (SPE),110000000,45388836,115802596,112935797,228738393,14-Feb-07,1 hr 50 min,PG-13
Thor,2011,Paramount Pictures,150000000,65723338,181030624,268295994,449326618,21-Apr-11,1 hr 55 min,PG-13
End of Days,1999,Universal Pictures,100000000,20523595,66889043,145100000,211989043,24-Nov-99,2 hr 2 min,R
Peter Rabbit,2018,Sony Pictures Entertainment (SPE),50000000,25010928,115253424,236242642,351496066,8-Feb-18,1 hr 35 min,PG
Despicable Me 2,2013,Universal Pictures,76000000,83517315,368065385,602700620,970766005,20-Jun-13,1 hr 38 min,PG
Solo: A Star Wars Story,2018,Walt Disney Studios Motion Pictures,275000000,84420489,213767512,179157295,392924807,23-May-18,2 hr 15 min,PG-13
Spider-Man 2,2004,Sony Pictures Entertainment (SPE),200000000,88156227,373585825,415390628,788976453,30-Jun-04,2 hr 7 min,PG-13
Iron Man 2,2010,Paramount Pictures,200000000,128122480,312433331,311500000,623933331,28-Apr-10,2 hr 4 min,PG-13
Night at the Museum: Secret of the Tomb,2014,Twentieth Century Fox,127000000,17100520,113746621,249458014,363204635,17-Dec-14,1 hr 38 min,PG
Journey to the West: The Demons Strike Back,2017,Sony Pictures Entertainment (SPE),January 26 2017 (New Zealand),463883,880346,246704898,247585244,7-Nov-03,2 hr 15 min,R
War for the Planet of the Apes,2017,Twentieth Century Fox,150000000,56262929,146880162,343839601,490719763,11-Jul-17,2 hr 20 min,PG-13
Hidden Figures,2016,Twentieth Century Fox,25000000,515499,169607287,66349611,235956898,25-Dec-16,2 hr 7 min,PG
Click,2006,Revolution Studios,82500000,40011365,137355633,103329693,240685326,22-Jun-06,1 hr 47 min,PG-13
Non-Stop,2014,Universal Pictures,50000000,28875635,92168600,130641000,222809600,19-Feb-14,1 hr 46 min,PG-13
Dead Poets Society,1989,Walt Disney Studios Motion Pictures,June 2 1989 (Domestic),340456,95860116,140000000,235860116,29-Jun-01,2 hr 26 min,PG-13
Big Daddy,1999,Sony Pictures Entertainment (SPE),34200000,41536370,163479795,71322100,234801895,25-Jun-99,1 hr 33 min,PG-13
I Robot,2004,Twentieth Century Fox,120000000,52179887,144801023,208332875,353133898,15-Jul-04,1 hr 55 min,PG-13
Madagascar 3: Europe's Most Wanted,2012,DreamWorks,145000000,60316738,216391482,530529792,746921274,6-Jun-12,1 hr 35 min,PG
Alien: Covenant,2017,Twentieth Century Fox,97000000,36160621,74262031,166629732,240891763,9-May-17,2 hr 2 min,R
Gran Torino,2008,Warner Bros.,33000000,271720,148095302,121862926,269958228,12-Dec-08,1 hr 56 min,R
The Princess and the Frog,2009,Walt Disney Studios Motion Pictures,105000000,786190,104400899,162644866,267045765,25-Nov-09,1 hr 37 min,NA
Dumbo,2019,Walt Disney Studios Motion Pictures,170000000,45990748,114766307,238518314,353284621,27-Mar-19,1 hr 52 min,PG
Ocean's Eight,2018,Warner Bros.,70000000,41607378,140295726,157500000,297795726,7-Jun-18,1 hr 50 min,PG-13
The Lion King,2019,Walt Disney Studios Motion Pictures,260000000,191770759,543638043,1119437358,1663075401,11-Jul-19,1 hr 58 min,PG
Bullet Train,2022,Sony Pictures Entertainment (SPE),June 30 2022 (Serbia and Montenegro),30030156,103368602,135900000,239268602,6-Jul-90,2 hr 4 min,NA
Spectre,2015,Sony Pictures Entertainment (SPE),245000000,70403148,200074609,680630703,880705312,26-Oct-15,2 hr 28 min,PG-13
The Equalizer 2,2018,Sony Pictures Entertainment (SPE),62000000,36011640,102084362,88315795,190400157,18-Jul-18,2 hr 1 min,R
Stuart Little,1999,Sony Pictures Entertainment (SPE),133000000,15018223,140035367,160100000,300135367,17-Dec-99,1 hr 24 min,PG
